symbol,expiryDate,strikePrice,underlying,CE_OI,CE_CHGOI,CE_IV,CE_LTP,CE_BIDQTY,CE_BID,CE_ASK,CE_ASKQTY,PE_OI,PE_CHGOI,PE_IV,PE_LTP,PE_BIDQTY,PE_BID,PE_ASK,PE_ASKQTY
NIFTY,02-Dec-2025,23750,25790.8,0,0,0,0,75,2150.55,2210.75,75,103,4,19.11,7.5,150,6.25,8.75,750
NIFTY,02-Dec-2025,23800,25790.8,1,0,0,0,75,2101.55,2160.7,75,515,-5,18.7,7.45,900,7.2,8.7,300
NIFTY,02-Dec-2025,23850,25790.8,0,0,0,0,75,2052.75,2110.8,75,12,0,0,0,300,6.1,11.95,75
NIFTY,02-Dec-2025,23900,25790.8,1,0,0,0,75,2003.85,2060.8,75,0,0,0,0,75,8.7,9.9,600
NIFTY,02-Dec-2025,23950,25790.8,0,0,0,0,75,1955,2010.85,75,0,0,0,0,75,6.7,11.8,75
NIFTY,02-Dec-2025,24000,25790.8,1,0,0,0,75,1908.8,1965,75,793,31,17.92,10,300,9.55,10.4,75
NIFTY,02-Dec-2025,24050,25790.8,0,0,0,0,75,1857.3,1911,75,123,0,18.19,12.4,75,8.85,11.9,375
NIFTY,02-Dec-2025,24100,25790.8,2,1,24.67,1872.5,75,1807.35,1859.85,75,264,1,17.51,11.4,150,10.45,11.9,1200
NIFTY,02-Dec-2025,24150,25790.8,0,0,0,0,75,1759.7,1811.25,75,0,0,0,0,300,9.2,15.9,300
NIFTY,02-Dec-2025,24200,25790.8,2,1,22.02,1759,75,1710.3,1761.4,75,120,-19,16.77,12.5,75,11.2,12.5,75
NIFTY,02-Dec-2025,24250,25790.8,2,1,22.86,1721.15,75,1662.65,1712.1,75,2,0,0,0,300,10.6,14.85,300
NIFTY,02-Dec-2025,24300,25790.8,2,1,24.32,1691.55,75,1613.8,1662.15,75,315,16,15.87,13.5,75,12.05,13.3,75
NIFTY,02-Dec-2025,24350,25790.8,0,0,0,0,75,1565.1,1612.3,75,0,0,0,0,375,11.25,29.9,300
NIFTY,02-Dec-2025,24400,25790.8,2,1,22.64,1585.85,75,1516.95,1563.15,75,215,71,15.62,14.2,450,14.2,14.45,150
NIFTY,02-Dec-2025,24450,25790.8,0,0,0,0,75,1468.3,1512.4,75,23,3,15.47,15.6,150,14.7,15.9,450
NIFTY,02-Dec-2025,24500,25790.8,2,0,0,0,225,1436.15,1452,225,824,164,15.14,16.5,150,16.15,16.7,375
NIFTY,02-Dec-2025,24550,25790.8,0,0,0,0,75,1372,1413.95,75,26,18,14.96,18.35,150,17.05,18.05,150
NIFTY,02-Dec-2025,24600,25790.8,2,1,20.67,1389.85,75,1323.25,1365.4,75,283,60,14.69,19.2,450,18.15,19.15,75
NIFTY,02-Dec-2025,24650,25790.8,0,0,0,0,75,1275.75,1315.95,75,70,27,14.34,19.45,150,19.8,20.55,450
NIFTY,02-Dec-2025,24700,25790.8,0,0,0,0,75,1228.35,1267.3,75,522,104,14.23,22,75,21.35,22,300
NIFTY,02-Dec-2025,24750,25790.8,0,0,0,0,75,1181.2,1218.95,75,74,9,14.04,24.55,150,23.4,24.15,450
NIFTY,02-Dec-2025,24800,25790.8,4,1,19.85,1209.7,75,1134.15,1170.5,75,1057,292,13.85,26.55,525,25.5,25.75,375
NIFTY,02-Dec-2025,24850,25790.8,0,0,0,0,75,1087.85,1123,75,62,0,13.8,29.65,150,28,28.9,150
NIFTY,02-Dec-2025,24900,25790.8,4,2,18.59,1109.5,75,1055.05,1067.3,75,631,-25,13.51,32.15,75,30.9,31.4,150
NIFTY,02-Dec-2025,24950,25790.8,0,0,0,0,75,995.7,1028.3,75,182,79,13.33,35.6,450,34.4,34.75,75
